id X Y
DD 1 .6630978 .7893098
DD 2 .2797855 .5507806
DD 3 .0986659 .7375180
DD 4 .5836690 .3321734
DD 5 .7864710 .8257235
DD 6 .2473134 .0457932
DD 7 .9803428 .0021350
DD 8 .5090611 .9361467
DD 9 .9681301 .5814093
DD 10 .0465661 .8543610
DD 11 .4274253 .5755112
DD 12 .8550737 .7110193
DD 13 .2061500 .5100040
DD 14 .8359346 .1652748
DD 15 .2567405 .4558516
DD 16 .9029876 .9271210
DD 17 .3806668 .8359865
DD 18 .1352872 .1106827
DD 19 .1265586 .3323345
DD 20 .8219278 .6078418
DD 21 .3529481 .4734585
DD 22 .5998343 .0979494
DD 23 .0257415 .2137699
DD 24 .9072537 .6528374
DD 25 .8686369 .4481479
DD 26 .4807043 .4563541
DD 27 .3069928 .8040743
DD 28 .6152179 .3912458
DD 29 .2147523 .5178262
DD 30 .5782594 .5479188
DD 31 .4501232 .4701397
DD 32 .2956270 .4114735
DD 33 .8964389 .7058619
DD 34 .7793389 .8549402
DD 35 .2451491 .6047115
DD 36 .4968936 .3148899
DD 37 .2908631 .3571613
DD 38 .9297725 .7950798
DD 39 .9639519 .0189178
DD 40 .0655258 .7165500
DD 41 .3020580 .0952831
DD 42 .8286624 .1281477
DD 43 .3431285 .7061256
DD 44 .9847566 .3668473
DD 45 .4819294 .7040406
DD 46 .5410893 .8069976
DD 47 .8295708 .9008284
DD 48 .9946708 .6937779
DD 49 .8990368 .4764382
DD 50 .0110550 .9882307
DD 51 .5442205 .8133052
DD 52 .5088446 .3662821
DD 53 .2281737 .9683215
DD 54 .1166279 .6566882
DD 55 .7983470 .7528160
DD 56 .1901691 .6549066
DD 57 .1001745 .3636483
DD 58 .8444158 .9309929
DD 59 .7506083 .5591375
DD 60 .7711837 .4168145
DD 61 .6927839 .8028225
DD 62 .1706474 .6056828
DD 63 .9220544 .3442660
DD 64 .3019043 .4579505
DD 65 .8598295 .0450620
DD 66 .5212972 .8487588
DD 67 .7901468 .5031534
DD 68 .9807851 .8259506
DD 69 .7873456 .7303031
DD 70 .3438484 .2117514
DD 71 .5617653 .7843676
DD 72 .0721090 .2631657
DD 73 .2317009 .2756761
DD 74 .3584409 .2226926
DD 75 .4790876 .9186026
DD 76 .1357613 .5999513
DD 77 .8361912 .0861177
DD 78 .4663118 .8206592
DD 79 .6411274 .8849950
DD 80 .8929926 .2941551
DD 81 .8389628 .2782160
DD 82 .0785880 .7538365
DD 83 .3276263 .3522335
DD 84 .5244362 .6235167
DD 85 .6765388 .5109176
DD 86 .7886501 .8013313
DD 87 .1909005 .1634802
DD 88 .0443023 .2134749
DD 89 .5536278 .7862536
DD 90 .8464406 .2922451
DD 91 .4351473 .9411535
DD 92 .6173239 .6336584
DD 93 .9912986 .2277778
DD 94 .8032473 .8838002
DD 95 .2316276 .9696540
DD 96 .2826897 .7221179
DD 97 .6820140 .8639361
DD 98 .9806482 .9235903
DD 99 .1220402 .4711445
DD 100 .5218525 .0971378
DD 101 .6714190 .3381220
DD 102 .0774609 .9593122
DD 103 .0413164 .2215296
DD 104 .4547594 .9922491
DD 105 .9531897 .2367012
DD 106 .2636948 .0726124
DD 107 .8449645 .1608078
DD 108 .1717064 .1008427
DD 109 .0046496 .3708214
DD 110 .5206624 .7019667
DD 111 .8550046 .2340035
DD 112 .8056743 .5425680
DD 113 .6072728 .8673535
DD 114 .7715607 .4827912
DD 115 .9424356 .1559151
DD 116 .4226630 .3644789
DD 117 .4875945 .3188426
DD 118 .5069902 .3712632
DD 119 .0430864 .1249491
DD 120 .6551922 .1656731
DD 121 .8804577 .5118775
DD 122 .1450360 .9316137
DD 123 .7576085 .7183385
DD 124 .2267984 .4849514
DD 125 .0579323 .3978194
DD 126 .2756909 .1549327
DD 127 .8152719 .2830778
DD 128 .1130094 .5168031
DD 129 .1836463 .9893616
DD 130 .2245579 .5408114
DD 131 .6851341 .0939363
DD 132 .0569374 .5218093
