id X Y Z
DDD 1 .8463317 .1629673 0.411238
DDD 2 .4997889 .5624155 0.129725
DDD 3 .4706012 .5497251 0.211793
DDD 4 .0577126 .6451653 0.215144
DDD 5 .5088103 .4480117 0.036706
DDD 6 .0640905 .2086525 0.155126
DDD 7 .2001805 .7990781 0.010275
DDD 8 .6435300 .5411394 0.389831
DDD 9 .7759920 .9081857 0.269019
DDD 10 .5680544 .5760842 0.155351
DDD 11 .3964703 .7915141 0.830044
DDD 12 .6394698 .6081408 0.309645
DDD 13 .1530837 .4573168 0.636481
DDD 14 .4326328 .2802380 0.889821
DDD 15 .5093711 .3296449 0.540520
DDD 16 .2161355 .6560841 0.581301
DDD 17 .6381490 .3155139 0.608605
DDD 18 .4280951 .6972778 0.384616
DDD 19 .3546638 .8633914 0.136571
DDD 20 .4532832 .1191925 0.503424
DDD 21 .5916072 .9381063 0.765881
DDD 22 .1901529 .6744608 0.458081
DDD 23 .1480607 .7580119 0.895931
DDD 24 .7663330 .6142569 0.192536
DDD 25 .9930344 .4552519 0.986660
DDD 26 .7002610 .5501837 0.039782
DDD 27 .6254729 .0175649 0.473917
DDD 28 .9437252 .2654562 0.612938
DDD 29 .4840701 .8759997 0.789982
DDD 30 .8915941 .2227540 0.469906
DDD 31 .4471253 .6804780 0.576915
DDD 32 .1148218 .5446373 0.205607
DDD 33 .0376408 .9551216 0.251240
DDD 34 .9523539 .9953031 0.823133
DDD 35 .7120577 .6859321 0.039182
DDD 36 .0657121 .8017390 0.009477
DDD 37 .9101157 .1405596 0.653627
DDD 38 .6832176 .7875403 0.692537
DDD 39 .4134558 .4667952 0.648783
DDD 40 .7929377 .9608236 0.527902
DDD 41 .7244161 .4138678 0.359688
DDD 42 .4258969 .0433262 0.968395
DDD 43 .0441635 .8568770 0.537042
DDD 44 .0328066 .0329611 0.984307
DDD 45 .0985098 .1055572 0.797020
DDD 46 .6149304 .2763271 0.693413
DDD 47 .3156324 .1073022 0.333104
DDD 48 .7266248 .1479918 0.829831
DDD 49 .1751231 .9117832 0.204868
DDD 50 .9149903 .6842915 0.265499
DDD 51 .0824720 .8888343 0.563380
DDD 52 .9798274 .7329759 0.123339
DDD 53 .7249121 .3583500 0.936755
DDD 54 .1911395 .6257728 0.147080
DDD 55 .0686709 .1140130 0.142930
DDD 56 .0456508 .2659188 0.289285
DDD 57 .1867418 .8525315 0.744399
DDD 58 .2196318 .9914023 0.611860
DDD 59 .8704621 .2449963 0.323559
DDD 60 .2116394 .7091411 0.538649
DDD 61 .0751257 .2327454 0.650587
DDD 62 .0820056 .6150980 0.696473
DDD 63 .9647170 .4600358 0.403162
DDD 64 .1899416 .2774461 0.373349
DDD 65 .6262861 .3706450 0.807288
DDD 66 .5953736 .8588770 0.709517
DDD 67 .0806550 .6335374 0.660632
DDD 68 .7100012 .6220169 0.834813
DDD 69 .3707012 .8997252 0.688805
DDD 70 .9169731 .3682184 0.067519
DDD 71 .2965620 .5416972 0.159316
DDD 72 .4849104 .8117565 0.217992
DDD 73 .5114122 .5390710 0.426601
DDD 74 .6211925 .7332078 0.372548
DDD 75 .6021204 .0377309 0.233620
DDD 76 .5703443 .6695665 0.932030
DDD 77 .5537681 .7504075 0.264094
DDD 78 .0824493 .4039727 0.579020
DDD 79 .4208561 .1477453 0.705201
DDD 80 .3576553 .0718412 0.495100
DDD 81 .5736935 .6111418 0.371164
DDD 82 .9074487 .6972019 0.775621
DDD 83 .7161159 .1203341 0.556684
DDD 84 .0403587 .7452333 0.944349
DDD 85 .8279710 .8056188 0.275809
DDD 86 .4455106 .0938214 0.707465
DDD 87 .8078944 .4200097 0.109883
DDD 88 .3659017 .8955316 0.522194
DDD 89 .1014353 .5313433 0.862465
DDD 90 .0658066 .2661815 0.040712
DDD 91 .9067370 .4866151 0.827261
DDD 92 .8322599 .6792700 0.437687
DDD 93 .2523829 .8864531 0.670857
DDD 94 .9255072 .3863914 0.662041
DDD 95 .6248493 .7898899 0.794576
DDD 96 .2115636 .0794694 0.689331
DDD 97 .8589068 .9492581 0.488381
DDD 98 .3629935 .2557168 0.063964
DDD 99 .3534520 .2903975 0.365093
DDD 100 .3806135 .1726948 0.805675
DDD 101 .6852733 .2801923 0.600689
DDD 102 .8354450 .6582412 0.501154
DDD 103 .3993260 .8750498 0.616505
DDD 104 .9107988 .0753923 0.150233
DDD 105 .8788631 .9710569 0.227818
DDD 106 .4802722 .0802672 0.095678
DDD 107 .1523963 .6674982 0.151031
DDD 108 .7175901 .0332496 0.459928
DDD 109 .3746041 .6359626 0.530917
DDD 110 .9150167 .5502219 0.210107
DDD 111 .3101148 .3206919 0.607209
DDD 112 .2924332 .1681086 0.296501
DDD 113 .9252338 .8829137 0.217196
DDD 114 .8005001 .8421056 0.234843
DDD 115 .3133014 .4809319 0.960539
DDD 116 .6375278 .3227349 0.007133
DDD 117 .4921290 .8245025 0.924968
DDD 118 .9771584 .6488087 0.025199
DDD 119 .6520158 .5697866 0.927351
