id X Y Z
DDD 1 .3919469 .4055065 0.611479
DDD 2 .2457106 .2625027 0.987215
DDD 3 .4171081 .2736944 0.729738
DDD 4 .4561557 .6897982 0.225175
DDD 5 .5890468 .3522899 0.802780
DDD 6 .6891329 .8382578 0.885110
DDD 7 .6315439 .8367422 0.974836
DDD 8 .9156850 .0847677 0.345630
DDD 9 .1400398 .3458763 0.633925
DDD 10 .2980055 .5305524 0.994508
DDD 11 .1124315 .9019380 0.369567
DDD 12 .6164453 .2944538 0.102276
DDD 13 .8663603 .4234995 0.937078
DDD 14 .3993503 .4021271 0.346641
DDD 15 .4220550 .4456015 0.401294
DDD 16 .2692816 .7677007 0.167073
DDD 17 .7086203 .4703085 0.020303
DDD 18 .3779517 .7768594 0.549189
DDD 19 .5163746 .6761211 0.699067
DDD 20 .5660181 .0686371 0.196399
DDD 21 .0035957 .7897198 0.465571
DDD 22 .3066200 .9845019 0.471223
DDD 23 .4954945 .2990786 0.752573
DDD 24 .0146334 .4520968 0.048827
DDD 25 .6965500 .8513688 0.911844
DDD 26 .5559494 .3793031 0.289252
DDD 27 .3721716 .0580571 0.269500
DDD 28 .5890751 .4716505 0.669459
DDD 29 .8271515 .8864637 0.855369
DDD 30 .7189005 .2095390 0.643055
DDD 31 .5891983 .6525750 0.448211
DDD 32 .5309955 .9257917 0.091600
DDD 33 .7561483 .0823696 0.639254
DDD 34 .7831881 .8407626 0.161447
DDD 35 .3329017 .1541151 0.840768
DDD 36 .9258432 .8111000 0.481769
DDD 37 .1038685 .0852873 0.160145
DDD 38 .4571166 .6363597 0.738525
DDD 39 .3814053 .9357545 0.621769
DDD 40 .3359053 .1894856 0.437196
DDD 41 .2505229 .3519202 0.416000
DDD 42 .9021561 .4747820 0.995591
DDD 43 .2927085 .9004268 0.979709
DDD 44 .8080475 .9899009 0.311781
DDD 45 .5021919 .5980522 0.710389
DDD 46 .8482136 .4336074 0.503939
DDD 47 .1790430 .4373843 0.201708
DDD 48 .9840587 .7531873 0.762306
DDD 49 .6552833 .1739954 0.944851
DDD 50 .1652067 .5963624 0.850827
DDD 51 .1303720 .0559553 0.961463
DDD 52 .8266602 .1920035 0.026177
DDD 53 .6961569 .6538931 0.754229
DDD 54 .4372043 .2388181 0.941948
DDD 55 .5413053 .0402253 0.928711
DDD 56 .6343992 .1760666 0.595970
DDD 57 .7515155 .2578963 0.127802
DDD 58 .9330558 .8272562 0.860872
DDD 59 .1621090 .7378005 0.399101
DDD 60 .5537986 .3662154 0.402681
DDD 61 .1590700 .9332658 0.896254
DDD 62 .5900858 .3119815 0.868885
DDD 63 .6358947 .2403454 0.870382
DDD 64 .7072949 .2090891 0.138834
DDD 65 .6568905 .0024782 0.115634
DDD 66 .2250867 .1251376 0.222375
DDD 67 .6004781 .2331147 0.407935
DDD 68 .3406498 .3674936 0.877398
DDD 69 .1937638 .2434499 0.755516
DDD 70 .1595008 .0926657 0.172339
DDD 71 .1248074 .6852328 0.419521
DDD 72 .0536786 .8998104 0.865315
DDD 73 .7417829 .0990221 0.818696
DDD 74 .7933357 .1460258 0.783742
DDD 75 .3162617 .8220060 0.914739
DDD 76 .2132946 .6150835 0.006740
DDD 77 .7462987 .4198815 0.196510
DDD 78 .3850170 .2700821 0.224829
DDD 79 .3765328 .4650817 0.305681
DDD 80 .0580249 .0187023 0.436985
DDD 81 .4772746 .7271229 0.804021
DDD 82 .3920350 .5493351 0.697462
DDD 83 .2002029 .3458019 0.180128
DDD 84 .7883078 .1268771 0.000858
DDD 85 .5499863 .4376911 0.643963
DDD 86 .1999016 .4754643 0.444852
DDD 87 .8015450 .3916283 0.620044
DDD 88 .0970416 .1663881 0.485545
DDD 89 .2619178 .8279705 0.584098
DDD 90 .9145871 .8549265 0.853634
DDD 91 .4214700 .2550497 0.949085
DDD 92 .1300078 .7893681 0.682411
DDD 93 .1466113 .7178219 0.060340
DDD 94 .1162647 .7061363 0.134868
DDD 95 .1079599 .4989096 0.879037
DDD 96 .7759478 .9211606 0.444975
DDD 97 .2741328 .9393986 0.083415
DDD 98 .0698458 .4615363 0.832554
DDD 99 .8797249 .8716283 0.552206
DDD 100 .4712327 .7225773 0.215134
DDD 101 .3317241 .6121026 0.411220
DDD 102 .8604462 .5906457 0.698175
DDD 103 .2742336 .0003211 0.333206
DDD 104 .3642154 .3861585 0.266131
DDD 105 .3971156 .0770759 0.147562
DDD 106 .2695785 .4359575 0.119345
DDD 107 .1476699 .5993462 0.163937
DDD 108 .7195164 .5993234 0.960977
DDD 109 .5708822 .0516507 0.335394
DDD 110 .9305229 .6043360 0.032259
DDD 111 .0357760 .9363493 0.441072
DDD 112 .8526483 .4955759 0.361446
DDD 113 .2631308 .1462151 0.668720
