id X Y Z
DDD 1 .9941896 .8916650 0.277970
DDD 2 .1876063 .2262483 0.486446
DDD 3 .9402277 .0929114 0.308689
DDD 4 .5181380 .9168384 0.197443
DDD 5 .3413854 .1293492 0.872059
DDD 6 .8544510 .6305628 0.944104
DDD 7 .9727511 .2304249 0.122126
DDD 8 .7357930 .0376462 0.252196
DDD 9 .9430978 .2140208 0.332863
DDD 10 .1923972 .4052676 0.187753
DDD 11 .3850694 .4703620 0.216732
DDD 12 .6004608 .9711586 0.142100
DDD 13 .9790657 .4010407 0.097909
DDD 14 .2415629 .5831740 0.288939
DDD 15 .1006176 .5025442 0.294470
DDD 16 .1323489 .9755610 0.947557
DDD 17 .8917999 .4836960 0.165202
DDD 18 .7380568 .0489462 0.615788
DDD 19 .1116880 .3069854 0.474569
DDD 20 .3315461 .9448423 0.663226
DDD 21 .6291799 .8331451 0.582877
DDD 22 .6368230 .1387768 0.355816
DDD 23 .9813371 .2523174 0.057291
DDD 24 .8190481 .7385072 0.970024
DDD 25 .3168945 .5670125 0.757668
DDD 26 .8555584 .1222230 0.568293
DDD 27 .7504172 .3525907 0.149665
DDD 28 .0359538 .3806916 0.341954
DDD 29 .8278902 .5984655 0.239329
DDD 30 .1726876 .0690109 0.756972


