id X Y Z
DDD 1 .9142309 .8178972 0.651554
DDD 2 .8716851 .5568321 0.193416
DDD 3 .3741774 .0909635 0.069083
DDD 4 .2766093 .5364299 0.587466
DDD 5 .7198956 .5480020 0.992795
DDD 6 .1952074 .4251803 0.243672
DDD 7 .0935241 .1293908 0.800815
DDD 8 .9997430 .5146563 0.329014
DDD 9 .1971563 .1553647 0.739536
DDD 10 .8100063 .3626231 0.309977
DDD 11 .7215671 .1882381 0.661429
DDD 12 .1257504 .8087096 0.541899
DDD 13 .0501298 .7876558 0.177679
DDD 14 .6247631 .4508197 0.388951
DDD 15 .8870136 .4291732 0.778263
DDD 16 .6870788 .0291672 0.805549
DDD 17 .8291252 .6944331 0.293840
DDD 18 .2049960 .0392839 0.377213
DDD 19 .0145590 .7883046 0.027523
DDD 20 .9435345 .0371491 0.702407
DDD 21 .8091875 .2953597 0.748520
DDD 22 .8181583 .4032553 0.310518
DDD 23 .6976344 .0932669 0.699872
DDD 24 .8348989 .6299856 0.158174
DDD 25 .4728621 .1698569 0.427401
DDD 26 .1588542 .2576686 0.938051
DDD 27 .5051467 .8570526 0.652703
DDD 28 .0943154 .1161238 0.032770
DDD 29 .0389528 .2493223 0.037513
DDD 30 .1148915 .1749503 0.238946
DDD 31 .5253155 .3051087 0.875690
DDD 32 .1038666 .6492706 0.201513
DDD 33 .0454535 .7625706 0.531057
DDD 34 .4700449 .5676546 0.375049
DDD 35 .7036103 .3992478 0.161768
DDD 36 .7964211 .2425468 0.748497
DDD 37 .9362358 .6296886 0.336791
DDD 38 .3495589 .3852287 0.139257
DDD 39 .1607030 .7039558 0.373226
DDD 40 .5054814 .3092109 0.483461
DDD 41 .9174869 .0190262 0.054015
DDD 42 .4995793 .0374823 0.275235
DDD 43 .1802550 .8977064 0.005062
DDD 44 .6374237 .3772909 0.850602
DDD 45 .0412920 .6765747 0.912996
DDD 46 .1518534 .2956154 0.830084
DDD 47 .4352631 .5639286 0.624708
DDD 48 .3881748 .3012447 0.264003
DDD 49 .5401679 .4065187 0.258618
DDD 50 .2601998 .0349397 0.885438
DDD 51 .2755976 .6032997 0.903463
DDD 52 .4490289 .8445500 0.925400
DDD 53 .8777558 .7262758 0.986145
DDD 54 .3054021 .6717107 0.600303
DDD 55 .5282700 .1910711 0.408689
DDD 56 .7439620 .9329066 0.878507
DDD 57 .7972904 .2388710 0.605532
DDD 58 .6503389 .0097691 0.042685
DDD 59 .2658743 .6601642 0.135144
DDD 60 .7134593 .1785151 0.250967
DDD 61 .8408670 .6600238 0.388814
DDD 62 .5873163 .9509711 0.381796
DDD 63 .3775533 .0228039 0.419381
DDD 64 .5075257 .4516764 0.837234
DDD 65 .3789364 .7068568 0.232890
DDD 66 .7547291 .1366677 0.511778
DDD 67 .5307463 .0504913 0.795662
DDD 68 .6732072 .3267394 0.645477
DDD 69 .1308616 .1996678 0.618015
DDD 70 .5103291 .0757753 0.584879
DDD 71 .2408806 .9141447 0.770165
DDD 72 .5196065 .1552042 0.679328
DDD 73 .4737782 .7477339 0.403425
DDD 74 .1335378 .6782608 0.398261
DDD 75 .2700778 .3432725 0.333064
DDD 76 .3160316 .3195684 0.832959
DDD 77 .5284051 .2846544 0.711734
DDD 78 .3893965 .3511465 0.377248
DDD 79 .4548489 .0950713 0.329546
DDD 80 .8265750 .8972890 0.248243
DDD 81 .0768602 .4882638 0.641002
DDD 82 .0219023 .9274189 0.356185
DDD 83 .3166609 .2313739 0.480445
DDD 84 .4070738 .5150088 0.365491
DDD 85 .8089404 .7646813 0.473139
DDD 86 .1546358 .6865097 0.328995
DDD 87 .4381623 .2834027 0.517624
DDD 88 .9880603 .5989822 0.878501
DDD 89 .2097328 .9955936 0.280685
DDD 90 .3617412 .5882970 0.304582
DDD 91 .5917630 .8413170 0.795716
DDD 92 .7399675 .5284122 0.419904
DDD 93 .5928281 .6423993 0.016995
DDD 94 .3324777 .5808558 0.827148
DDD 95 .9861678 .4375719 0.451303
DDD 96 .0645101 .3741950 0.163669
DDD 97 .3498166 .0703727 0.719783
DDD 98 .5877151 .4554688 0.640183
DDD 99 .7503714 .8001385 0.934657
DDD 100 .7788183 .9563485 0.051288


