id X Y Z
DDD 1 .8379331 .0380461 0.068788
DDD 2 .5921812 .6176687 0.365696
DDD 3 .0528200 .0690117 0.447416
DDD 4 .4848669 .2969836 0.538943
DDD 5 .8701613 .8609515 0.087712
DDD 6 .4123854 .1093987 0.329363
DDD 7 .4000475 .1350862 0.799936
DDD 8 .6924397 .2471237 0.059635
DDD 9 .1489080 .1889409 0.094576
DDD 10 .6383607 .2952679 0.394202
DDD 11 .5300848 .0823598 0.806600
DDD 12 .3804131 .4146213 0.219133
DDD 13 .9022970 .1806239 0.193175
DDD 14 .1757580 .5224092 0.292637
DDD 15 .8621879 .0217673 0.944243
DDD 16 .3587157 .8509051 0.792768
DDD 17 .0064188 .6615390 0.664664
DDD 18 .0311096 .1057752 0.542164
DDD 19 .3804980 .9801041 0.288470
DDD 20 .3596987 .8092710 0.886669
DDD 21 .2558669 .3977858 0.448782
DDD 22 .0629298 .3798865 0.337510
DDD 23 .3213573 .9687122 0.901054
DDD 24 .6488732 .0894104 0.673553
DDD 25 .1251523 .2644225 0.589086
DDD 26 .7141427 .2074470 0.944917
DDD 27 .6314729 .6250922 0.856521
DDD 28 .8212591 .2869859 0.137218
DDD 29 .7225358 .4823320 0.308735
DDD 30 .0181960 .4945092 0.925286
DDD 31 .7285437 .2202877 0.754842
DDD 32 .0151570 .9139553 0.014384
DDD 33 .6417212 .5542968 0.065738
DDD 34 .6438743 .5626530 0.853299
DDD 35 .2873741 .2194196 0.449622
DDD 36 .9353118 .0936199 0.608538
DDD 37 .7957612 .8630484 0.678842
DDD 38 .5914834 .4044236 0.168951
DDD 39 .3409010 .8522793 0.498116
DDD 40 .6125909 .1476614 0.652457
DDD 41 .0714316 .1010934 0.907974
DDD 42 .3757335 .8990541 0.053321
DDD 43 .9269721 .2954232 0.959787
DDD 44 .7374574 .8807057 0.324133
DDD 45 .7712381 .7841454 0.758129
DDD 46 .1283029 .9912816 0.080593
DDD 47 .8281139 .0867366 0.441695
DDD 48 .6896759 .7312409 0.031565
DDD 49 .3141237 .0570270 0.011554
DDD 50 .0257237 .6368443 0.575189
DDD 51 .6429384 .2879740 0.741945
DDD 52 .0468422 .1959901 0.501542
DDD 53 .5448537 .8329331 0.803022
DDD 54 .7958841 .9940309 0.838245
DDD 55 .4942419 .6803061 0.237546
DDD 56 .3894873 .0481274 0.684734
DDD 57 .2559591 .0139830 0.445276
DDD 58 .7791005 .8914327 0.065722
DDD 59 .1202560 .9224426 0.813155
DDD 60 .6306597 .8580033 0.127536
DDD 61 .1550267 .1230147 0.270658
DDD 62 .1173666 .0278321 0.155144
DDD 63 .9119163 .1204245 0.912438
DDD 64 .8830487 .1883268 0.103531
DDD 65 .5140308 .1336106 0.359216
DDD 66 .1180451 .6609398 0.086344
DDD 67 .6504222 .6527151 0.558171
DDD 68 .0368651 .5740358 0.993329
DDD 69 .1163062 .6173724 0.707231
DDD 70 .6859226 .7174777 0.105253
DDD 71 .2657661 .3637493 0.042646
DDD 72 .7568551 .0103640 0.144775
DDD 73 .8706701 .5344949 0.763076
DDD 74 .9402051 .3078826 0.609656
DDD 75 .8783166 .3836308 0.567811
DDD 76 .5169763 .1608988 0.090117
DDD 77 .5911058 .0757205 0.393626
DDD 78 .7306864 .5546883 0.612147
DDD 79 .7019474 .8511994 0.169965
DDD 80 .5764224 .8607011 0.313965
DDD 81 .9443265 .9207852 0.738196
DDD 82 .7399811 .4444255 0.137999
DDD 83 .0786098 .7122208 0.985138
DDD 84 .4608399 .7278431 0.498431
DDD 85 .4464471 .1105016 0.326744
DDD 86 .2063655 .0886600 0.931786
DDD 87 .9806508 .5339837 0.382291
DDD 88 .5477362 .8099998 0.011148
DDD 89 .6438934 .4366523 0.102458
DDD 90 .0244312 .3305691 0.202476
DDD 91 .7585891 .9221191 0.340941
DDD 92 .7652329 .1810100 0.959575
DDD 93 .2425881 .8359000 0.312684
DDD 94 .0784079 .0592401 0.450329
DDD 95 .7284629 .6449891 0.748243
DDD 96 .1984774 .2656062 0.707515
DDD 97 .9533579 .7309521 0.577656
DDD 98 .1356706 .8946546 0.077598
DDD 99 .3842743 .9655225 0.800490
DDD 100 .5581793 .4087923 0.100979
DDD 101 .2004115 .5942478 0.575243
DDD 102 .4756022 .0821032 0.468135
DDD 103 .5874563 .9499066 0.294866
DDD 104 .0008968 .8196301 0.654362
DDD 105 .5936465 .2164680 0.729352
DDD 106 .6516393 .4855572 0.483462
DDD 107 .0267003 .6670757 0.850660
DDD 108 .7008526 .5074766 0.940626
DDD 109 .1944473 .2441985 0.155670
DDD 110 .3819829 .4953054 0.390528
DDD 111 .5578827 .2124678 0.262864
DDD 112 .8582160 .1919951 0.312574
DDD 113 .1085436 .5081094 0.841043
DDD 114 .5371151 .4659439 0.140222
DDD 115 .7252399 .3840531 0.893963
DDD 116 .4889434 .4065451 0.221401
DDD 117 .8184057 .4950434 0.589267
DDD 118 .5399180 .9765900 0.319447
DDD 119 .8313445 .6081674 0.067833
DDD 120 .3764283 .1278355 0.808997
DDD 121 .9215572 .0244395 0.045335
DDD 122 .2168448 .7559709 0.406453
DDD 123 .3648431 .3572165 0.665455
DDD 124 .9753627 .2530102 0.008441
DDD 125 .5700946 .7715454 0.174713
DDD 126 .2362540 .5408202 0.834368
DDD 127 .4113210 .8208483 0.834386
DDD 128 .8433751 .1086121 0.235681
DDD 129 .9106068 .7369091 0.088636
DDD 130 .7426700 .4367955 0.760598
DDD 131 .8640678 .9867203 0.036174
DDD 132 .3361596 .9141569 0.964088
DDD 133 .2025966 .0936653 0.034630
DDD 134 .6433910 .5269135 0.134334
DDD 135 .8179213 .5565217 0.571733
DDD 136 .8369727 .7363256 0.090939
DDD 137 .0474088 .0511693 0.884505
DDD 138 .2265220 .5232772 0.513686
DDD 139 .4707753 .2674409 0.617874
DDD 140 .7015263 .9580694 0.336782
DDD 141 .2885812 .4555560 0.441677
DDD 142 .3871655 .1836540 0.002952
DDD 143 .1737422 .2087992 0.759038
DDD 144 .3844645 .6501991 0.093218
DDD 145 .6484339 .8048402 0.406508
DDD 146 .7111605 .0152436 0.864512
DDD 147 .9623682 .6181050 0.321844
DDD 148 .8737663 .4713143 0.067921
DDD 149 .0446265 .1881986 0.930896
DDD 150 .0134147 .4637552 0.152004
DDD 151 .9677043 .4103112 0.758356
DDD 152 .5945735 .8352073 0.722509
DDD 153 .7843118 .3661096 0.301106
DDD 154 .6505324 .3366954 0.893421
DDD 155 .5474435 .3385920 0.185709
DDD 156 .3540996 .0731592 0.467598
DDD 157 .4624257 .7900573 0.383810
DDD 158 .0250972 .6355508 0.676880
DDD 159 .7937407 .2044864 0.567524
DDD 160 .6844301 .1818263 0.265963
DDD 161 .3945581 .8175362 0.960240
DDD 162 .1716232 .2723262 0.877672
DDD 163 .2657367 .9297845 0.675156
DDD 164 .1001825 .4856971 0.438367
DDD 165 .7937532 .7101254 0.514634
DDD 166 .1618457 .3216874 0.243994
DDD 167 .3612158 .5720679 0.401031
DDD 168 .3231508 .1563786 0.031783
DDD 169 .6544989 .2094331 0.047175
DDD 170 .2896791 .5107313 0.980823
DDD 171 .6832324 .5103432 0.751180
DDD 172 .4362134 .0192561 0.309134
DDD 173 .4360658 .5677401 0.686696
DDD 174 .5938254 .5741937 0.498149
DDD 175 .0739462 .0467405 0.255309
DDD 176 .2139417 .4413489 0.171558
DDD 177 .1412672 .8672073 0.672169
DDD 178 .2486720 .9036816 0.994946
DDD 179 .6793155 .5647806 0.513918
DDD 180 .5375026 .3324658 0.652706
DDD 181 .2656137 .2935390 0.103022
DDD 182 .7017758 .5953019 0.654811
DDD 183 .4747006 .1542440 0.012905
DDD 184 .8366025 .4050467 0.228552
DDD 185 .3457466 .7370275 0.807173
DDD 186 .1588848 .5508363 0.230123
DDD 187 .1228385 .2572081 0.697808
DDD 188 .9113798 .8263577 0.188163
DDD 189 .4649357 .6759348 0.193406
DDD 190 .1151071 .7133961 0.621065
DDD 191 .8520539 .4093485 0.345090
DDD 192 .2723062 .2599875 0.442995
DDD 193 .0773377 .7541987 0.613125
DDD 194 .1034896 .8192703 0.810314
DDD 195 .2339803 .5451328 0.120195
DDD 196 .2963147 .0318738 0.052399
DDD 197 .8916148 .7974822 0.639213
DDD 198 .6799298 .2234624 0.021492
DDD 199 .3064686 .6050657 0.432710
DDD 200 .0325291 .7693721 0.727151
DDD 201 .3084209 .2186158 0.938155
DDD 202 .8859960 .4071914 0.081726
DDD 203 .4287697 .3276769 0.050296
DDD 204 .4011246 .3501578 0.394810
DDD 205 .0351681 .8455128 0.006748
DDD 206 .0288903 .7014164 0.966303
DDD 207 .5724804 .1284712 0.577247
DDD 208 .8140058 .3610346 0.929585
DDD 209 .0053927 .1616727 0.504905
DDD 210 .5904434 .5612214 0.509956
DDD 211 .4431517 .8625970 0.383574
DDD 212 .9061460 .5050050 0.432191
DDD 213 .6089470 .7814119 0.677730
DDD 214 .4246879 .4016824 0.012279
DDD 215 .8938625 .0375136 0.100300
DDD 216 .1015851 .5082370 0.579905
DDD 217 .4931481 .6890014 0.417026
DDD 218 .1262116 .5566170 0.445238
DDD 219 .5334685 .6864766 0.128102
DDD 220 .1482434 .0668456 0.067422
DDD 221 .8239216 .3529134 0.882092
DDD 222 .5491490 .3473993 0.390290
DDD 223 .2486430 .6331847 0.780406
DDD 224 .5408610 .2366852 0.546310
DDD 225 .8998857 .2834164 0.390045
DDD 226 .9293268 .5498047 0.510410
DDD 227 .5502318 .2724681 0.360271
DDD 228 .9115314 .4076355 0.053522
DDD 229 .3912249 .9337872 0.615716
DDD 230 .9097328 .7226287 0.718743
DDD 231 .2208509 .2614263 0.730039
DDD 232 .0024540 .6171387 0.068715
DDD 233 .2291106 .0524386 0.989912
DDD 234 .9921361 .9126062 0.979971
DDD 235 .6820617 .6599574 0.735443
DDD 236 .7456842 .4460312 0.121234
DDD 237 .3003324 .6752943 0.464511
DDD 238 .5353431 .1759402 0.517946
DDD 239 .8158658 .0791478 0.931893
DDD 240 .2598185 .1029934 0.453684
DDD 241 .6057085 .9047747 0.392213
DDD 242 .3932258 .1575269 0.797406
DDD 243 .6666656 .2905287 0.463405
DDD 244 .2337083 .5422217 0.744098
DDD 245 .4197510 .4537840 0.988361
DDD 246 .6333226 .6447485 0.013736
DDD 247 .5162458 .5187306 0.273789
DDD 248 .2024493 .5722081 0.578146
DDD 249 .2429682 .6401269 0.822116
DDD 250 .4994594 .5634848 0.293662
