id X Y
DD 1 .1103557 .7217539
DD 1 .4935065 .1330853
DD 2 .9586650 .4011115
DD 3 .6575841 .4200082
DD 4 .6487799 .4030838
DD 5 .5002618 .1200330
DD 6 .7646127 .1684092
DD 7 .6986786 .7953486
DD 8 .1263613 .9497718
DD 9 .6282217 .7672150
DD 10 .4597892 .7805639
DD 11 .5867745 .4923287
DD 12 .4848376 .7141790
DD 13 .9538821 .6994851
DD 14 .9817161 .8176598
DD 15 .5505316 .4264996
DD 16 .1529400 .9625637
DD 17 .8937258 .6086524
DD 18 .7547064 .4294920
DD 19 .1254921 .4356768
DD 20 .9332964 .9664666
DD 21 .9860748 .4902807
DD 22 .0382643 .4847444
DD 23 .8309534 .3206746
DD 24 .6479376 .2457849
DD 25 .5836816 .6333467
DD 26 .5756001 .3344433
DD 27 .5814959 .2086604
DD 28 .8555851 .5080937
DD 29 .1058657 .8665377
DD 30 .9537564 .1788249
DD 31 .2807949 .7058045
DD 32 .2104214 .2831155
DD 33 .9404022 .2095078
DD 34 .4970033 .0150317
DD 35 .6742566 .8879313
DD 36 .1297026 .6770217
DD 37 .9017810 .5969368
DD 38 .3003128 .0063368
DD 39 .5409212 .6349088
DD 40 .9102271 .9720284



