id X Y
DD 1 .2238446 .0830459
DD 2 .7247373 .5966952
DD 3 .5814296 .3289546
DD 4 .7463926 .4222115
DD 5 .5739620 .4601053
DD 6 .7259755 .5609845
DD 7 .9182257 .9648716
DD 8 .6368542 .8022594
DD 9 .1071193 .5758686
DD 10 .9480516 .2829352
DD 11 .1171545 .8564517
DD 12 .2474132 .8510312
DD 13 .9885279 .1285767
DD 14 .3838966 .3648390
DD 15 .6089820 .4464049
DD 16 .6020836 .7735690
DD 17 .5202391 .8689405
DD 18 .3208653 .7232038
DD 19 .4212727 .0680222
DD 20 .7179078 .7215084
DD 21 .2387429 .1259393
DD 22 .8133851 .4732490
DD 23 .8317148 .4680838
DD 24 .1794591 .6926739
DD 25 .9429591 .9161634
DD 26 .8025205 .2847323
DD 27 .9378617 .9498732
DD 28 .2471628 .9663985
DD 29 .9068951 .9803320
DD 30 .5556707 .8193391
DD 31 .2588905 .7553149
DD 32 .8933548 .5070634
DD 33 .0976471 .3601421
DD 34 .6347743 .4731444
DD 35 .2388838 .5122870
DD 36 .3826558 .8191334
DD 37 .1608320 .2731423
DD 38 .5115521 .1359399
DD 39 .6500485 .6551883
DD 40 .6108940 .6627464
DD 41 .2519381 .0628504
DD 42 .2334728 .0424985
DD 43 .3981905 .6838733
DD 44 .3894667 .8396958
DD 45 .4834955 .8958692
DD 46 .2042870 .0291319
DD 47 .1116705 .9580982
DD 48 .2096853 .9354246
DD 49 .8243670 .6472844
DD 50 .1781256 .6221762
DD 51 .1489744 .4316524
DD 52 .7443078 .4534346
DD 53 .7288715 .0601595
DD 54 .9763200 .3733224
DD 55 .2889336 .3123820
DD 56 .4411152 .2042921
DD 57 .5898549 .7844757
DD 58 .2212553 .7199911
DD 59 .3715428 .0913429
DD 60 .0360479 .1121934
DD 61 .3012315 .2953929
DD 62 .5417229 .3872298
DD 63 .5362231 .7163509
DD 64 .6610723 .7778374
DD 65 .7819242 .9602425
DD 66 .2393984 .9608937
DD 67 .4582890 .8922300
DD 68 .4446053 .1871289
DD 69 .2545395 .6681916
DD 70 .3162235 .7501526
DD 71 .1132812 .5720888
DD 72 .0999789 .8810224
DD 73 .3885165 .4560507
DD 74 .0476301 .4206466
DD 75 .1027358 .6609883
DD 76 .9700859 .7025941
DD 77 .1089001 .4582277
DD 78 .9466970 .1178952
DD 79 .4538640 .7853935
DD 80 .3440025 .9132127
DD 81 .9382895 .2783622
DD 82 .9994910 .9138457
DD 83 .0595259 .6888350
DD 84 .5840388 .0204604
DD 85 .1809234 .5247057
DD 86 .4619952 .3977276
DD 87 .5537843 .3962354
DD 88 .6993263 .0862359
DD 89 .0742679 .7708442
DD 90 .2941880 .0956618
DD 91 .4222352 .7463885
DD 92 .4747077 .5842547
DD 93 .2248794 .5978921
DD 94 .4669888 .1417532
DD 95 .5252136 .2241094
DD 96 .1113491 .0519406
DD 97 .2117214 .6438146
DD 98 .9129462 .2366784
DD 99 .9658828 .2306062
DD 100 .5581508 .8324853
DD 101 .1815197 .7300710
DD 102 .8016975 .4180598
DD 103 .3641193 .0126532
DD 104 .3106934 .1286336
DD 105 .5771478 .1552993
DD 106 .1063863 .5301997
DD 107 .1010136 .4281783
DD 108 .4271043 .3905330
DD 109 .8314397 .1402963
DD 110 .0873827 .5190287
DD 111 .9777113 .5579092
DD 112 .8578945 .7357681
DD 113 .9252337 .1780753
DD 114 .3548018 .7914043
DD 115 .9862280 .8797511
DD 116 .9094656 .6504808
DD 117 .1498571 .6873195
DD 118 .5814791 .8661770
DD 119 .5187737 .3046040
DD 120 .7586461 .6462593
DD 121 .2306688 .8870754
DD 122 .7232121 .4077205
DD 123 .3460340 .8293557
DD 124 .4082712 .8482591
DD 125 .1596809 .2050655
DD 126 .7632375 .4709084
DD 127 .0737557 .8948194
DD 128 .3214780 .6658021
DD 129 .6516890 .8015292
DD 130 .5330661 .3997956
DD 131 .5408963 .7434162
DD 132 .1950422 .7474792
DD 133 .0797466 .9350320
DD 134 .0719574 .3105470
DD 135 .7514980 .1534322
DD 136 .9297401 .3485651
DD 137 .0622227 .9162152
DD 138 .2724703 .4524378
DD 139 .4363581 .8837141
DD 140 .8283755 .0393324
DD 141 .5650930 .2899885
DD 142 .2196808 .9790288
DD 143 .2194686 .9946959
DD 144 .3997679 .3586374
DD 145 .4495158 .6561998
DD 146 .6668186 .7749026
DD 147 .6181097 .9186816
DD 148 .8696532 .5679273
DD 149 .8361543 .1833484
DD 150 .5002251 .9716277
DD 151 .7343829 .7343404
DD 152 .5971056 .0866017
DD 153 .4741104 .3894368
DD 154 .8316964 .6498998
DD 155 .4998797 .5574007
DD 156 .0677465 .4904430
DD 157 .4937435 .1585904
DD 158 .5164282 .9630880
DD 159 .7140849 .2915635
DD 160 .9826592 .1306097
DD 161 .4890516 .2316039
DD 162 .4299358 .5306975
DD 163 .8710234 .1906820
DD 164 .1845886 .4814704
DD 165 .8167016 .5531037
DD 166 .7474818 .4385417
DD 167 .8975614 .7652912
DD 168 .7606578 .2513342
DD 169 .3151979 .8775504
DD 170 .7546953 .5456951
DD 171 .4306832 .5235986
DD 172 .6334921 .0909187
DD 173 .3390883 .9308315
DD 174 .3782275 .0365829
DD 175 .1399675 .8690793
DD 176 .3002958 .4101734
DD 177 .0695105 .1937308
DD 178 .6604413 .2698431
DD 179 .8553967 .1838508
DD 180 .1020846 .3648614
DD 181 .5037883 .0180889
DD 182 .8122911 .9638761
DD 183 .8895359 .7090336
DD 184 .5029315 .5000819
DD 185 .3431957 .3060006
DD 186 .2637036 .6222836
DD 187 .9470268 .2903345
DD 188 .3317400 .8386963
DD 189 .1894087 .3769296
DD 190 .2909287 .8406721
DD 191 .3932466 .3891218
DD 192 .7867182 .3784043
DD 193 .0265761 .9171472
DD 194 .3354820 .7495858
DD 195 .4078890 .9662911
DD 196 .2253772 .0119954
DD 197 .9073423 .0504363
DD 198 .0394623 .3366075
DD 199 .6781307 .9282540
DD 200 .3605410 .8110844
DD 201 .0775649 .5885333
DD 202 .3071782 .7539530
DD 203 .7899512 .7814113
DD 204 .4555041 .4144187
DD 205 .4658725 .4143094
DD 206 .3631773 .9561624
DD 207 .3550845 .9735046
DD 208 .4591359 .9376280
DD 209 .5306192 .7202262
DD 210 .8119280 .1257747
DD 211 .1649806 .1072702
DD 212 .7443807 .3720683
DD 213 .8981932 .4691308
DD 214 .1145576 .3331514
DD 215 .2920685 .7938529
DD 216 .2112652 .8661915
DD 217 .0430468 .9639878
DD 218 .6832090 .7398996
DD 219 .0625128 .3704659
DD 220 .9881754 .5836561
DD 221 .4512208 .8076748
DD 222 .9537345 .3936220
DD 223 .2035653 .0388154
