id X Y
DD 1 .3923155 .3726124
DD 2 .5642800 .5864750
DD 3 .7178863 .0444227
DD 4 .0680763 .3094042
DD 5 .6696887 .3399332
DD 6 .2665256 .0570422
DD 7 .5290497 .6436466
DD 8 .1293600 .4791588
DD 9 .9720719 .3897606
DD 10 .9254822 .2242042
DD 11 .1120731 .6816790
DD 12 .4963139 .3069920
DD 13 .2349511 .4240750
DD 14 .9256712 .4263822
DD 15 .9136404 .6932214
DD 16 .1610242 .1989830
DD 17 .2833050 .3706949
DD 18 .2519771 .8568720
DD 19 .2769882 .4975229
DD 20 .4307779 .6426001
DD 21 .1597906 .2961525
DD 22 .5830504 .9427958
DD 23 .0434091 .7195608
DD 24 .2486254 .0895836
DD 25 .1847134 .5211830
DD 26 .8437606 .6212904
DD 27 .4321088 .4343777
DD 28 .1860660 .4625657
DD 29 .5293984 .7816730
DD 30 .6985088 .7286286
