id X Y
DD 1 .8796973 .1663037
DD 2 .4412202 .4400040
DD 3 .7692646 .1581757
DD 4 .6085134 .1714655
DD 5 .7444235 .4842132
DD 6 .7440238 .4752427
DD 7 .1161006 .6695420
DD 8 .5031957 .9621573
DD 9 .9657102 .8118274
DD 10 .6163317 .9738311
DD 11 .0225246 .1598838
DD 12 .6064823 .2103987
DD 13 .7648401 .4737713
DD 14 .9237252 .4394680
DD 15 .4063430 .8422438
DD 16 .3939679 .9821584
DD 17 .2069242 .4579527
DD 18 .8710250 .3592575
DD 19 .8140537 .0774465
DD 20 .9544916 .8842997
DD 21 .8818577 .3850305
DD 22 .5967645 .5677164
DD 23 .5028957 .5377286
DD 24 .5618607 .8416694
DD 25 .1824773 .5312160
DD 26 .3953525 .6607894
DD 27 .0348348 .8694425
DD 28 .3851899 .7493258
DD 29 .1197403 .9570193
DD 30 .6913146 .3572091
DD 31 .5898833 .7140859
DD 32 .3391979 .0007648
DD 33 .4936513 .6265861
DD 34 .2376603 .3803225
DD 35 .2725573 .7164407
DD 36 .1109599 .0062750
DD 37 .4925676 .1092968
DD 38 .7330758 .9842843
DD 39 .1266801 .7931385
DD 40 .8097720 .8038429
DD 41 .4224217 .0373373
DD 42 .1503036 .6743006
DD 43 .3901508 .4544979
DD 44 .4719397 .7283041
DD 45 .2713056 .9499755
DD 46 .5407212 .9713856
DD 47 .7126977 .3670118
DD 48 .8124560 .8427203
DD 49 .1937673 .4873149
DD 50 .9277919 .2478775
DD 51 .6260467 .6133943
DD 52 .1506956 .4492436
DD 53 .7530753 .1033232
DD 54 .1247124 .7107397
DD 55 .4973396 .2516274
DD 56 .3474040 .4850093
DD 57 .8886160 .5499680
DD 58 .9092430 .5354547
DD 59 .5130431 .7939790
DD 60 .8754188 .9718814
DD 61 .0794921 .3413209
DD 62 .9613585 .9540991
DD 63 .9319960 .1214955
DD 64 .8067148 .9271537
DD 65 .0542982 .2385253
DD 66 .3170164 .7769716
DD 67 .9126487 .1190026
DD 68 .5335239 .2555941
DD 69 .6509543 .5035501
DD 70 .8139944 .3779231














