id X Y Z
DDD 1 .8859404 .3842446 0.053974
DDD 2 .7790425 .9263252 0.277639
DDD 3 .2978286 .4838548 0.089021
DDD 4 .6526172 .3941540 0.595928
DDD 5 .2598440 .1755205 0.794029
DDD 6 .9920256 .1824359 0.193879
DDD 7 .1629516 .9982330 0.279733
DDD 8 .4228384 .7848807 0.200795
DDD 9 .4540650 .9691597 0.473965
DDD 10 .4366452 .6467628 0.477224
DDD 11 .0914343 .4252803 0.813152
DDD 12 .2757478 .5926299 0.364553
DDD 13 .2328036 .7239529 0.956530
DDD 14 .5853714 .6929368 0.086818
DDD 15 .4689094 .4267466 0.883756
DDD 16 .8237370 .2218418 0.240444
DDD 17 .5933741 .3521812 0.937638
DDD 18 .8252608 .5819878 0.200384
DDD 19 .2355115 .6987675 0.853758
DDD 20 .6244445 .9458253 0.221771
