id X Y Z
DDD 1 .6616105 .1169458 0.398183
DDD 2 .8279065 .0710496 0.805868
DDD 3 .5788093 .0596630 0.433236
DDD 4 .8688912 .7247582 0.814975
DDD 5 .1552535 .8212891 0.314634
DDD 6 .5554032 .7824717 0.189242
DDD 7 .3523922 .1267354 0.948272
DDD 8 .7988332 .8530849 0.667703
DDD 9 .3724251 .5010309 0.198599
DDD 10 .0957946 .0051760 0.728236
DDD 11 .7264851 .2140750 0.495836
DDD 12 .8496196 .4692169 0.742449
DDD 13 .8060198 .5561293 0.484410
DDD 14 .8263755 .4597008 0.073331
DDD 15 .3291781 .0378941 0.724532
DDD 16 .7390704 .8851750 0.414592
DDD 17 .2041905 .2741357 0.210541
DDD 18 .9792481 .4235948 0.277106
DDD 19 .9054541 .5371980 0.822979
DDD 20 .7621329 .7453009 0.804362
