id X Y Z
DDD 1 .0989907 .8084366 0.743666
DDD 2 .0474549 .2179809 0.497546
DDD 3 .8587392 .2124290 0.173976
DDD 4 .2659547 .6299005 0.252740
DDD 5 .9376547 .6356931 0.550751
DDD 6 .7817623 .8301528 0.102839
DDD 7 .7081682 .8441512 0.096749
DDD 8 .1366097 .1221103 0.502918
DDD 9 .0369966 .4332865 0.155606
DDD 10 .4377085 .6987197 0.140884
DDD 11 .7499605 .0621440 0.698757
DDD 12 .9694029 .1010023 0.666392
DDD 13 .1806459 .9969452 0.296439
DDD 14 .6773205 .2731953 0.090573
DDD 15 .0920435 .8464642 0.608904
DDD 16 .6794270 .0620822 0.520913
DDD 17 .8137822 .5076207 0.044837
DDD 18 .2383143 .6066486 0.760072
DDD 19 .6480367 .5304937 0.252270
DDD 20 .2163465 .3129311 0.560323
DDD 21 .3122930 .5329356 0.364990
DDD 22 .4963623 .2773416 0.984491
DDD 23 .9420547 .5594471 0.864069
DDD 24 .9393959 .3168655 0.699747
DDD 25 .1939194 .4377397 0.335356
DDD 26 .1087248 .3308954 0.892136
DDD 27 .1794141 .7277503 0.503108
DDD 28 .3454100 .6390948 0.910180
DDD 29 .9201971 .7075571 0.930060
DDD 30 .1507437 .2321171 0.103342

