id X Y Z
DDD 1 .3693751 .1811814 0.519505
DDD 2 .8970252 .9779520 0.390280
DDD 3 .6475693 .7907135 0.416204
DDD 4 .6193001 .9552824 0.046858
DDD 5 .0642794 .2484342 0.412832
DDD 6 .4102964 .6464451 0.224896
DDD 7 .7583406 .0965031 0.603021
DDD 8 .3746532 .3075155 0.183556
DDD 9 .8961291 .7741235 0.738725
DDD 10 .7301156 .3157784 0.725185
DDD 11 .1637706 .3707489 0.079515
DDD 12 .0027878 .4417263 0.281377
DDD 13 .5611100 .0037145 0.877085
DDD 14 .1758993 .7181179 0.900859
DDD 15 .1314262 .8309827 0.438004
DDD 16 .3919274 .4007415 0.315420
DDD 17 .3358407 .3596689 0.518501
DDD 18 .6874474 .7684076 0.586753
DDD 19 .0445686 .5716852 0.381431
DDD 20 .7082390 .3189811 0.537453
DDD 21 .9162462 .1349876 0.196806
DDD 22 .4753608 .0534672 0.341276
DDD 23 .3067040 .7158148 0.087726
DDD 24 .3050258 .7083333 0.469519
DDD 25 .5123871 .7047449 0.208143
DDD 26 .3675687 .6419093 0.657476
DDD 27 .5213138 .5056550 0.722660
DDD 28 .7325113 .1858822 0.462517
DDD 29 .6136721 .3375276 0.036613
DDD 30 .9040899 .1571377 0.729456
DDD 31 .9100235 .1277821 0.400092
DDD 32 .8085385 .3455146 0.505864
DDD 33 .7802888 .8332168 0.482532
DDD 34 .1423082 .5439673 0.059880
DDD 35 .0613713 .1489826 0.502595
DDD 36 .3081710 .4012132 0.132163
DDD 37 .1330941 .2330852 0.186346
DDD 38 .4201983 .3226910 0.623753
DDD 39 .6062480 .3969835 0.705500
DDD 40 .8028327 .0306256 0.557188



