id X Y
DD 1 .2116737 .5511553
DD 2 .1847690 .3250398
DD 3 .2116946 .0324893
DD 4 .3662906 .4859378
DD 5 .3213961 .0515052
DD 6 .9169771 .6045645
DD 7 .1745790 .9072323
DD 8 .7635875 .9752533
DD 9 .2136920 .7568479
DD 10 .4500019 .8711850
DD 11 .6540694 .7235543
DD 12 .8075970 .2444030
DD 13 .2418151 .8318130
DD 14 .7373927 .4396487
DD 15 .6451706 .6275326
DD 16 .9132083 .0840052
DD 17 .9198076 .0525524
DD 18 .1339037 .2285951
DD 19 .4452876 .7175489
DD 20 .8844617 .2228304
DD 21 .4530916 .1435906
DD 22 .0390970 .2779875
DD 23 .8537942 .2457731
DD 24 .3711572 .7447011
DD 25 .3073029 .1759423
DD 26 .6282293 .2453839
DD 27 .8382504 .9262639
DD 28 .5779686 .3621016
DD 29 .9387803 .5595797
DD 30 .0096564 .9151050
DD 31 .8707590 .7519080
DD 32 .7547507 .2465681
DD 33 .3140291 .1203599
DD 34 .1206442 .5551398
DD 35 .8293588 .6169508
DD 36 .6568825 .3542163
DD 37 .7243855 .5835583
DD 38 .0211338 .6324066
DD 39 .4257582 .8114031
DD 40 .1996440 .2980405
DD 41 .6560132 .4931805
DD 42 .9676606 .9477719
DD 43 .5621199 .0981390
DD 44 .9407836 .8069011
DD 45 .1042701 .1782606
DD 46 .7472877 .6780106
DD 47 .8360112 .6030313
DD 48 .8105870 .6744006
DD 49 .7253893 .8343818
DD 50 .2240676 .1126696
DD 51 .6040446 .1430030
DD 52 .6689142 .8391251
DD 53 .5973259 .1206890
DD 54 .8982024 .0495812
DD 55 .5811351 .8864038
DD 56 .8038311 .8510140
DD 57 .1155251 .8796927
DD 58 .5007310 .8635527
DD 59 .8937110 .3846520
DD 60 .3966133 .4668993
DD 61 .6782767 .6691946
DD 62 .2442254 .1885385
DD 63 .8216187 .0336132
DD 64 .2630607 .4815367
DD 65 .3202220 .7526983
DD 66 .3226368 .9543856
DD 67 .1548686 .9177197
DD 68 .8412145 .1387347
DD 69 .3314931 .0266988
DD 70 .6010864 .1950205













